Local grou,Lat,Long
Altruisme Efficace Lyon,45.764,4.8357
Altruisme Efficace Polytechnique,48.8566,2.3522
Altruisme Efficace Toulouse,43.6047,1.4442
EA Berlin (main organizer) & German EA Network (core team),52.52,13.405
EA Potsdam,52.3906,13.0645
Effective Altruism Aachen,50.7753,6.0839
Effective Altruism Amsterdam,52.3667,4.8945
Effective Altruism Athens,37.9838,23.7275
Effective Altruism Bangalore,12.9716,77.5946
Effective Altruism Basel,47.5596,7.5886
Effective Altruism Beijing,39.9042,116.4074
Effective Altruism Belgium Effective Altruism Flanders,50.8503,4.3517
Effective Altruism Brussels,50.8503,4.3517
Effective Altruism Cambridge,52.2053,0.1218
Effective Altruism Delhi,28.7041,77.1025
Effective Altruism Dubai,25.2048,55.2708
Effective Altruism Freiburg,47.999,7.8421
"Effective Altruism Geneva (Effective Altruism Lausanne) (Etudiants pour l'Altruism Efficace, Université de Genève)",46.2044,6.1432
Effective Altruism Groningen,53.2194,6.5665
Effective Altruism Heidelberg,49.3988,8.6724
Effective Altruism Helsinki,60.1699,24.9384
Effective Altruism Hong Kong,22.3193,114.1694
Effective Altruism Kuala Lumpur,3.139,101.6869
Effective Altruism Lagos,6.5244,3.3792
Effective Altruism Lausanne,46.5197,6.6323
"Effective Altruism Moscow, [Effective Altruism Russia]",55.7558,37.6173
Effective Altruism NTNU (Effektiv Altruisme NTNU in Norwegian),63.4305,10.3951
Effective Altruism Singapore,1.3521,103.8198
Effective Altruism St Petersburg (Effective Altruism Russia),59.9343,30.3351
Effective Altruism Stockholm University,59.3293,18.0686
Effective Altruism Tuebingen,48.5216,9.0576
Effective Altruism Ulm,48.4011,9.9876
Effective Altruism University of Oslo,59.9139,10.7522
Effective Altruism Uppsala,59.8586,17.6389
Effective Altruism Uva Amsterdam,52.3667,4.8945
Effective Altruism Vienna,48.2082,16.3738
Effective Altruism Zurich,47.3769,8.5417
Effektiv Altruism Örebro,59.2753,15.2134
Effektiv Altruisme NTNU,63.4305,10.3951
Effektiver Altruismus Bayreuth,49.9456,11.5713
Effektiver Altruismus Bern,46.948,7.4474
Effektiver Altruismus Bonn,50.7374,7.0982
Effektiver Altruismus Darmstadt,49.8728,8.6512
Effektiver Altruismus Dresden,51.0504,13.7373
Effektiver Altruismus Düsseldorf,51.2277,6.7735
Effektiver Altruismus Frankfurt,50.1109,8.6821
Effektiver Altruismus Graz,47.0707,15.4395
Effektiver Altruismus Hamburg,53.5511,9.9937
Effektiver Altruismus Hannover,52.3759,9.732
Effektiver Altruismus Karlsruhe,49.0069,8.4037
Effektiver Altruismus Köln,50.9375,6.9603
Effektiver Altruismus Leipzig,51.3397,12.3731
Effektiver Altruismus Mannheim,49.4875,8.466
effektiver altruismus marburg/giessen,50.8022,8.7668
Effektiver Altruismus München,48.1351,11.582
Effektiver Altruismus Osnabrück,52.2799,8.0472
Effektiver Altruismus Stuttgart,48.7758,9.1829
Effektiver Altruismus Würzburg,49.7913,9.9534
Etudiants pour l'Altruisme Efficace Unige,46.2044,6.1432
Effective Altruism Adelaide,-34.9285,138.6007
Effective Altruism ANU,-35.2809,149.13
Effective Altruism Auckland,-36.8485,174.7633
Effective Altruism Christchurch,-43.5321,172.6362
Effective Altruism Kisumu,-0.0917,34.768
Effective Altruism Macquarie University,-33.8688,151.2093
Effective Altruism Nairobi,-1.2921,36.8219
Effective altruism Sunshine Coast,-26.65,153.0667
Effective Altruism Sydney,-33.8688,151.2093
Effective Altruism University of Cape Town,-33.9249,18.4241
Effective Altruism University of Melbourne,-37.8136,144.9631
Effective Altruism UNSW,-33.8688,151.2093
Effective Altruism UQ,-27.4698,153.0251
Effective Altruism USYD (Effective Altruism ANZ),-33.8688,151.2093
Effective Altruism Wellington,-41.2865,174.7762
Effective Altruism: University of Queensland,-27.4698,153.0251
Sydney University Effective Altruism Society,-33.8688,151.2093
Albuquerque Effective Altruism,35.0844,-106.6504
Altruisme Efficace Québec; Altruisme Efficace Montréal - Effective Altruism Montreal,45.5017,-73.5673
Berkeley Rationality and Effective Altruism Community Hub,37.7749,-122.4194
Boston Effective Altruism,42.3601,-71.0589
Brown University Effective Altruism Initiative,41.824,-71.4128
Carnegie Mellon University Effective Altruism,40.4406,-79.9959
