want_ea_newsletter,which_year_EA,donate_2017_c
NA,2013,NA
"Yes, sign me up",2015,NA
I already receive the newsletter,2014,NA
"Yes, sign me up",2017,300
"No, I would not like to receive the newsletter",2011,3300
I already receive the newsletter,2016,20
"No, I would not like to receive the newsletter",2018,1000
"Yes, sign me up",2009 or before,7227.54
I already receive the newsletter,2015,36000
I already receive the newsletter,2016,739.62
I already receive the newsletter,2017,591.69
"Yes, sign me up",2017,NA
"Yes, sign me up",2017,NA
"Yes, sign me up",I don't remember,200
I already receive the newsletter,2015,5100000
I already receive the newsletter,2016,NA
"Yes, sign me up",2016,NA
NA,2013,153.68
I already receive the newsletter,2014,1573.66
"No, I would not like to receive the newsletter",2018,0
I already receive the newsletter,2016,15000
I already receive the newsletter,2016,2305.26
"Yes, sign me up",2011,NA
"Yes, sign me up",2017,390.09
NA,2009 or before,0
I already receive the newsletter,2012,7396.17
I already receive the newsletter,2017,739.62
"Yes, sign me up",2017,2440.74
"Yes, sign me up",2017,0
I already receive the newsletter,2016,390.09
"No, I would not like to receive the newsletter",2016,14792.35
I already receive the newsletter,2016,15000
I already receive the newsletter,2017,115.62
I already receive the newsletter,2016,65.02
"Yes, sign me up",2017,2312.45
"No, I would not like to receive the newsletter",2016,32507.65
NA,2012,0
NA,2014,NA
"Yes, sign me up",2015,NA
I already receive the newsletter,2018,NA
I already receive the newsletter,2014,NA
"Yes, sign me up",2018,0
NA,2017,NA
"Yes, sign me up",2015,3846.01
NA,2018,NA
I already receive the newsletter,2013,18000
"No, I would not like to receive the newsletter",2014,NA
"Yes, sign me up",2017,59.17
NA,2017,NA
I already receive the newsletter,2013,887.54
"Yes, sign me up",2012,153.68
"Yes, sign me up",2012,384.21
"No, I would not like to receive the newsletter",2013,0
"No, I would not like to receive the newsletter",2017,NA
"No, I would not like to receive the newsletter",I don't remember,2218.85
I already receive the newsletter,2013,739.62
"No, I would not like to receive the newsletter",2016,NA
I already receive the newsletter,2017,0
"No, I would not like to receive the newsletter",2016,NA
I already receive the newsletter,I don't remember,1479.23
"No, I would not like to receive the newsletter",2017,73.96
"No, I would not like to receive the newsletter",2018,147.92
I already receive the newsletter,2016,3698.09
"Yes, sign me up",I don't remember,NA
I already receive the newsletter,2013,455107.1
I already receive the newsletter,2014,369.81
I already receive the newsletter,2015,739.62
I already receive the newsletter,2009 or before,76.84
I already receive the newsletter,2017,353.47
I already receive the newsletter,2015,1040.24
I already receive the newsletter,2017,2305.26
"No, I would not like to receive the newsletter",2016,1156.22
NA,2018,10000
I already receive the newsletter,2016,224.19
"No, I would not like to receive the newsletter",2017,67.45
"Yes, sign me up",2009 or before,8984
NA,2017,NA
I already receive the newsletter,2016,2081.2
"Yes, sign me up",2016,76.84
I already receive the newsletter,2017,4437.7
I already receive the newsletter,2014,1250
NA,2017,NA
"Yes, sign me up",2018,346.87
I already receive the newsletter,2013,NA
NA,2016,2000
I already receive the newsletter,2015,76.84
I already receive the newsletter,2015,5000
I already receive the newsletter,2018,1700
I already receive the newsletter,2016,780.18
I already receive the newsletter,2014,3900.92
I already receive the newsletter,2017,2081.2
I already receive the newsletter,2009 or before,6501.53
"No, I would not like to receive the newsletter",2009 or before,0
I already receive the newsletter,2009 or before,0
NA,I don't remember,NA
I already receive the newsletter,2016,50000
I already receive the newsletter,2015,13000
NA,2017,NA
NA,2016,NA
I already receive the newsletter,2017,100
"No, I would not like to receive the newsletter",2017,2500
I already receive the newsletter,2018,0
I already receive the newsletter,2016,29
I already receive the newsletter,2013,45000
"No, I would not like to receive the newsletter",2013,9400
NA,2014,0
I already receive the newsletter,2014,2254.63
NA,2015,NA
NA,2016,600
I already receive the newsletter,I don't remember,37000
"Yes, sign me up",2017,404.68
NA,2015,NA
I already receive the newsletter,2015,2600.61
I already receive the newsletter,2015,824.26
NA,2017,NA
I already receive the newsletter,2015,2312.45
I already receive the newsletter,2015,9249.78
"Yes, sign me up",2017,277.49
I already receive the newsletter,I don't remember,22188.52
"No, I would not like to receive the newsletter",2016,173.43
I already receive the newsletter,2016,120
"Yes, sign me up",2018,138.75
NA,2015,NA
NA,2017,NA
"No, I would not like to receive the newsletter",2016,200
I already receive the newsletter,2017,0
NA,2016,NA
"No, I would not like to receive the newsletter",2017,2218.85
NA,2017,NA
NA,2011,NA
I already receive the newsletter,2016,500
NA,2017,NA
"Yes, sign me up",2013,NA
I already receive the newsletter,2016,6000
I already receive the newsletter,2017,450.52
"Yes, sign me up",2015,11060.38
I already receive the newsletter,2014,1820.43
"Yes, sign me up",I don't remember,NA
"Yes, sign me up",2017,346.87
I already receive the newsletter,2015,537.89
NA,2015,NA
"No, I would not like to receive the newsletter",2015,32.51
NA,2016,NA
I already receive the newsletter,2016,200
I already receive the newsletter,2013,8000
I already receive the newsletter,2017,1156.22
"No, I would not like to receive the newsletter",2016,900
I already receive the newsletter,2016,NA
I already receive the newsletter,2015,10000
I already receive the newsletter,2015,2500
"Yes, sign me up",2017,0
NA,2009 or before,NA
I already receive the newsletter,2013,1759.61
NA,2017,NA
I already receive the newsletter,2016,57.81
NA,2012,NA
I already receive the newsletter,2016,971.23
NA,2017,1618.71
I already receive the newsletter,2014,0
I already receive the newsletter,2015,0
I already receive the newsletter,2016,2543.69
I already receive the newsletter,2016,0
I already receive the newsletter,2015,650.15
I already receive the newsletter,2016,5000
NA,2017,1156.22
I already receive the newsletter,2015,115.62
I already receive the newsletter,2015,900
"No, I would not like to receive the newsletter",2017,10
I already receive the newsletter,2017,15000
I already receive the newsletter,2017,200
NA,2014,6434.67
"Yes, sign me up",2013,NA
NA,I don't remember,0
I already receive the newsletter,2015,NA
I already receive the newsletter,2018,369.81
NA,2010,NA
I already receive the newsletter,2013,346.87
I already receive the newsletter,2017,1351.56
"Yes, sign me up",2016,NA
NA,2014,NA
I already receive the newsletter,2018,0
I already receive the newsletter,2014,2600.61
I already receive the newsletter,2017,2600.61
NA,2015,NA
I already receive the newsletter,2017,156.04
I already receive the newsletter,2016,425000
NA,2016,NA
"No, I would not like to receive the newsletter",2016,50.27
I already receive the newsletter,2017,2000
"Yes, sign me up",2017,NA
I already receive the newsletter,2016,2000
I already receive the newsletter,2016,12500
I already receive the newsletter,2015,34.69
I already receive the newsletter,2017,416.24
I already receive the newsletter,2012,100
I already receive the newsletter,2017,2774.94
I already receive the newsletter,2012,5201.22
NA,2009 or before,NA
NA,2016,1300.31
NA,2017,NA
NA,2017,520772.56
I already receive the newsletter,2016,NA
NA,2012,NA
I already receive the newsletter,2017,1387.47
NA,2013,1351.56
I already receive the newsletter,2012,3900.92
I already receive the newsletter,2012,0
I already receive the newsletter,2017,1120.97
I already receive the newsletter,2017,80.94
I already receive the newsletter,2018,NA
I already receive the newsletter,2015,10
NA,2013,3468.67
NA,NA,NA
I already receive the newsletter,2015,1681.46
"No, I would not like to receive the newsletter",2016,7263.06
I already receive the newsletter,2017,NA
I already receive the newsletter,2015,7868.31
I already receive the newsletter,2016,231.24
NA,2014,0
NA,2017,130.03
"Yes, sign me up",2014,0
NA,2016,650.15
"Yes, sign me up",I don't remember,1500
NA,2016,NA
I already receive the newsletter,2014,NA
I already receive the newsletter,2015,0
NA,2015,NA
NA,2015,NA
NA,2016,1300.31
I already receive the newsletter,2016,363.15
I already receive the newsletter,2012,10000
NA,2018,NA
"No, I would not like to receive the newsletter",2018,NA
NA,2014,NA
I already receive the newsletter,2018,2000
I already receive the newsletter,2016,NA
I already receive the newsletter,2017,0
"Yes, sign me up",2017,NA
I already receive the newsletter,2017,1210.51
NA,2015,0
"Yes, sign me up",2016,731.69
I already receive the newsletter,2013,NA
NA,2016,115.62
I already receive the newsletter,2017,369.81
"Yes, sign me up",2017,5000
I already receive the newsletter,2011,0
I already receive the newsletter,2011,80000
I already receive the newsletter,2017,1000
NA,2015,804.39
I already receive the newsletter,2017,100
NA,2018,NA
NA,2018,NA
"Yes, sign me up",2015,73.96
I already receive the newsletter,2016,27000
"No, I would not like to receive the newsletter",I don't remember,NA
NA,2017,NA
I already receive the newsletter,2016,325.08
I already receive the newsletter,2016,200
NA,2015,NA
NA,2016,NA
"Yes, sign me up",2017,502.74
I already receive the newsletter,2017,138.75
NA,2015,NA
I already receive the newsletter,2014,7411.74
"Yes, sign me up",2016,3900.92
I already receive the newsletter,2015,115.62
"Yes, sign me up",2018,5201.22
I already receive the newsletter,2014,1052.23
I already receive the newsletter,2016,780.18
I already receive the newsletter,2013,8500
I already receive the newsletter,2017,100
I already receive the newsletter,2015,578.11
"Yes, sign me up",2012,130000
I already receive the newsletter,I don't remember,3000
I already receive the newsletter,2011,2555.25
I already receive the newsletter,2016,0
I already receive the newsletter,2018,373.19
I already receive the newsletter,2015,346.87
I already receive the newsletter,2017,500
I already receive the newsletter,2014,0
I already receive the newsletter,2015,768.42
I already receive the newsletter,2009 or before,4500
I already receive the newsletter,2012,1953.67
I already receive the newsletter,2012,5347480
I already receive the newsletter,2014,3120.73
I already receive the newsletter,2017,NA
NA,2016,NA
I already receive the newsletter,2013,19828.37
