religion
NA
Other
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
Prefer Not to Answer
"Atheist, agnostic, or non-religious"
Other
"Atheist, agnostic, or non-religious"
Christian
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
Prefer Not to Answer
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
Other
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
Christian
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
Christian
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
NA
Buddhist
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
NA
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
Buddhist
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
NA
Prefer Not to Answer
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
Christian
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
Other
"Atheist, agnostic, or non-religious"
Other
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
Christian
"Atheist, agnostic, or non-religious"
Christian
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
Prefer Not to Answer
"Atheist, agnostic, or non-religious"
Other
NA
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
Christian
Christian
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
Buddhist
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
NA
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
Other
Prefer Not to Answer
Buddhist
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
NA
NA
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
NA
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
NA
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
Buddhist
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
NA
NA
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
Prefer Not to Answer
"Atheist, agnostic, or non-religious"
NA
NA
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
Christian
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
Christian
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
Buddhist
"Atheist, agnostic, or non-religious"
Christian
Christian
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
NA
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
Christian
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
Muslim
"Atheist, agnostic, or non-religious"
Christian
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
Jewish
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
NA
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
Other
NA
Prefer Not to Answer
"Atheist, agnostic, or non-religious"
Other
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
Hindu
Christian
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
Other
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
NA
Other
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
Prefer Not to Answer
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
Christian
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
NA
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
Jewish
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
NA
NA
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
Christian
NA
"Atheist, agnostic, or non-religious"
NA
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
Christian
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
NA
"Atheist, agnostic, or non-religious"
Christian
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
Christian
NA
NA
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
NA
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
NA
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
NA
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
Christian
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
Christian
"Atheist, agnostic, or non-religious"
Prefer Not to Answer
Other
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
NA
Christian
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
NA
Prefer Not to Answer
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
Prefer Not to Answer
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
NA
"Atheist, agnostic, or non-religious"
Prefer Not to Answer
Buddhist
"Atheist, agnostic, or non-religious"
Christian
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
Christian
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
Christian
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
NA
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
Jewish
"Atheist, agnostic, or non-religious"
Buddhist
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
Other
Christian
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
Buddhist
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
Prefer Not to Answer
"Atheist, agnostic, or non-religious"
Christian
"Atheist, agnostic, or non-religious"
Christian
Christian
"Atheist, agnostic, or non-religious"
Christian
Hindu
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
NA
NA
"Atheist, agnostic, or non-religious"
Buddhist
Christian
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
NA
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
Buddhist
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
Buddhist
"Atheist, agnostic, or non-religious"
Prefer Not to Answer
NA
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
NA
Other
Prefer Not to Answer
"Atheist, agnostic, or non-religious"
Prefer Not to Answer
Prefer Not to Answer
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
Christian
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
NA
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
NA
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
NA
"Atheist, agnostic, or non-religious"
Christian
"Atheist, agnostic, or non-religious"
Buddhist
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
Buddhist
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
NA
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
Buddhist
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
NA
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
Christian
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
Christian
NA
Christian
Christian
NA
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
Buddhist
Other
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
NA
"Atheist, agnostic, or non-religious"
Christian
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
Christian
Christian
Other
"Atheist, agnostic, or non-religious"
Prefer Not to Answer
NA
Other
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
NA
Christian
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
Jewish
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
Christian
"Atheist, agnostic, or non-religious"
Christian
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
NA
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
Christian
Other
Other
Christian
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
Other
Other
NA
NA
Buddhist
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
NA
NA
"Atheist, agnostic, or non-religious"
Other
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
NA
NA
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
Buddhist
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
Christian
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
Christian
Prefer Not to Answer
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
NA
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
Other
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
NA
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
NA
Christian
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
NA
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
NA
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
NA
NA
"Atheist, agnostic, or non-religious"
Other
NA
"Atheist, agnostic, or non-religious"
NA
Other
"Atheist, agnostic, or non-religious"
NA
Christian
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
NA
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
Other
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
Christian
NA
"Atheist, agnostic, or non-religious"
Other
NA
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
NA
"Atheist, agnostic, or non-religious"
Jewish
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
NA
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
Prefer Not to Answer
"Atheist, agnostic, or non-religious"
Christian
Buddhist
Prefer Not to Answer
Christian
Other
NA
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
Christian
Christian
"Atheist, agnostic, or non-religious"
NA
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
Christian
"Atheist, agnostic, or non-religious"
Other
Prefer Not to Answer
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
NA
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
NA
"Atheist, agnostic, or non-religious"
Buddhist
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
Christian
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
Christian
"Atheist, agnostic, or non-religious"
Other
Christian
"Atheist, agnostic, or non-religious"
Christian
NA
NA
"Atheist, agnostic, or non-religious"
Christian
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
Christian
NA
"Atheist, agnostic, or non-religious"
NA
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
Christian
Jewish
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
NA
Prefer Not to Answer
"Atheist, agnostic, or non-religious"
Christian
Jewish
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
Prefer Not to Answer
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
Prefer Not to Answer
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
NA
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
Christian
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
NA
Other
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
Christian
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
Other
NA
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
Other
"Atheist, agnostic, or non-religious"
Buddhist
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
Muslim
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
Jewish
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
Buddhist
Christian
NA
NA
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
Christian
"Atheist, agnostic, or non-religious"
Buddhist
"Atheist, agnostic, or non-religious"
"Atheist, agnostic, or non-religious"
Christian
Buddhist
"Atheist, agnostic, or non-religious"
